Crop,Crop Stage,Disease,Recommended Product,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Bacterial wilt,Copper oxychloride (Blitox 50),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seed rot,Thiram + Carbendazim seed treatment,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seedling blight,Consult local expert,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Root rot,Tebuconazole (Folicur),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seed rot,Thiram + Carbendazim seed treatment,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seed rot,Thiram + Carbendazim seed treatment,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seed rot,Thiram + Carbendazim seed treatment,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Bacterial wilt,Copper oxychloride (Blitox 50),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seedling blight,Consult local expert,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Root rot,Tebuconazole (Folicur),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seedling blight,Consult local expert,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Bacterial wilt,Copper oxychloride (Blitox 50),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seed rot,Thiram + Carbendazim seed treatment,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Root rot,Tebuconazole (Folicur),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Bacterial wilt,Copper oxychloride (Blitox 50),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seedling blight,Consult local expert,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seed rot,Thiram + Carbendazim seed treatment,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,.
Cotton,Germination Stage,Bacterial wilt,Copper oxychloride (Blitox 50),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Seedling blight,Consult local expert,,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Root rot,Tebuconazole (Folicur),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Bacterial wilt,Copper oxychloride (Blitox 50),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Damping-off,Captan (Captaf),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Fusarium wilt,Carbendazim (Bavistin),,,,,,,,,,,,,,,,,
Cotton,Germination Stage,Pythium rot,Metalaxyl (Ridomil Gold),,,,,,,,,,,,,,,,,
